timestamp,rpm,speed,throttle,temp,load,boost,gear,lat,lon
40.786,750,0,0,94,0,1.0,N,0.0,0.0
40.813,750,0,0,94,0,1.0,N,0.0,0.0
40.878,750,0,0,94,0,1.0,N,0.0,0.0
40.938,750,0,0,94,0,1.0,N,0.0,0.0
41.005,750,0,0,94,0,1.0,N,0.0,0.0
41.067,750,0,0,94,0,1.0,N,0.0,0.0
41.132,750,0,0,94,0,1.0,N,0.0,0.0
41.191,750,0,0,94,0,1.0,N,0.0,0.0
41.258,750,0,0,94,0,1.0,N,0.0,0.0
41.323,750,0,0,94,0,1.0,N,0.0,0.0
41.381,750,0,0,94,0,1.0,N,0.0,0.0
41.439,750,0,0,94,0,1.0,N,0.0,0.0
41.501,750,0,0,94,0,1.0,N,0.0,0.0
41.564,750,0,0,94,0,1.0,N,0.0,0.0
41.628,750,0,0,94,0,1.0,N,0.0,0.0
41.692,750,0,0,94,0,1.0,N,0.0,0.0
41.755,750,0,0,94,0,1.0,N,0.0,0.0
41.820,786,0,5,94,4,1.0,N,0.0,0.0
41.877,847,0,9,94,7,1.0,N,0.0,0.0
41.942,932,0,13,94,10,1.0,N,0.0,0.0
42.011,1037,0,17,94,13,1.0,N,0.0,0.0
42.076,1160,0,21,94,17,1.0,N,0.0,0.0
42.142,1293,0,24,94,19,1.0,N,0.0,0.0
42.191,1435,0,27,94,21,1.0,N,0.0,0.0
42.252,1584,0,30,94,24,1.0,N,0.0,0.0
42.326,1740,0,33,94,26,1.0,N,0.0,0.0
42.385,1902,0,36,94,29,1.0,N,0.0,0.0
42.450,2069,0,39,94,31,1.0,N,0.0,0.0
42.507,2242,0,42,94,34,1.0,N,0.0,0.0
42.574,2411,0,44,94,35,1.0,N,0.0,0.0
42.647,2579,0,46,94,37,1.0,N,0.0,0.0
42.693,2744,0,48,94,39,1.1,N,0.0,0.0
42.758,2907,0,50,94,40,1.1,N,0.0,0.0
42.821,3068,0,52,94,42,1.1,N,0.0,0.0
42.885,3228,0,54,94,44,1.1,N,0.0,0.0
42.946,3386,0,56,94,45,1.1,N,0.0,0.0
43.024,3543,0,58,94,47,1.1,N,0.0,0.0
43.086,3698,0,60,94,49,1.1,N,0.0,0.0
43.150,3853,0,62,94,51,1.1,N,0.0,0.0
43.211,3999,0,63,94,52,1.1,N,0.0,0.0
43.277,4138,0,64,94,52,1.1,N,0.0,0.0
43.341,4403,0,65,94,53,1.1,N,0.0,0.0
43.408,4629,0,66,94,54,1.2,N,0.0,0.0
43.458,4825,0,67,94,55,1.2,N,0.0,0.0
43.525,4996,0,68,95,56,1.2,N,0.0,0.0
43.583,5147,0,69,95,57,1.2,N,0.0,0.0
43.645,5283,0,70,95,58,1.2,N,0.0,0.0
43.708,5405,0,71,95,59,1.2,N,0.0,0.0
43.777,5518,0,72,95,60,1.2,N,0.0,0.0
43.841,5623,0,73,95,61,1.3,N,0.0,0.0
43.909,5721,0,74,95,62,1.3,N,0.0,0.0
43.975,5814,0,75,95,63,1.3,N,0.0,0.0
44.041,5903,0,76,95,64,1.3,N,0.0,0.0
44.107,5989,0,77,95,65,1.3,N,0.0,0.0
44.161,6000,0,73,95,62,1.3,N,0.0,0.0
44.224,5950,0,69,95,59,1.4,N,0.0,0.0
44.290,5853,0,65,96,56,1.4,N,0.0,0.0
44.359,5716,0,61,96,53,1.4,N,0.0,0.0
44.410,5550,0,57,96,50,1.4,N,0.0,0.0
44.474,5445,0,59,96,52,1.4,N,0.0,0.0
44.540,5390,0,61,96,54,1.4,N,0.0,0.0
44.605,5361,0,62,96,54,1.4,N,0.0,0.0
44.674,5352,0,63,96,55,1.4,N,0.0,0.0
44.724,5360,0,64,96,56,1.4,N,0.0,0.0
44.788,5308,0,60,96,53,1.4,N,0.0,0.0
44.850,5223,0,57,96,51,1.4,N,0.0,0.0
44.913,5183,0,59,96,52,1.4,N,0.0,0.0
44.978,5109,0,56,96,50,1.4,N,0.0,0.0
45.040,5005,0,53,96,48,1.4,N,0.0,0.0
45.107,4952,0,55,96,49,1.4,N,0.0,0.0
45.173,4865,0,52,97,47,1.4,N,0.0,0.0
45.225,4825,0,54,97,49,1.4,N,0.0,0.0
45.288,4822,0,56,97,50,1.4,N,0.0,0.0
45.357,4776,0,53,97,48,1.4,N,0.0,0.0
45.408,4768,0,55,97,49,1.4,N,0.0,0.0
45.482,4718,0,52,97,47,1.4,N,0.0,0.0
45.540,4635,0,49,97,45,1.4,N,0.0,0.0
45.609,4525,0,46,97,42,1.4,N,0.0,0.0
45.672,4393,0,43,97,40,1.4,N,0.0,0.0
45.728,4245,0,40,97,37,1.4,N,0.0,0.0
45.788,4097,0,38,97,36,1.4,N,0.0,0.0
45.858,3949,0,36,97,34,1.4,N,0.0,0.0
45.921,3876,0,34,97,32,1.4,N,0.0,0.0
45.972,3795,0,32,97,31,1.4,N,0.0,0.0
46.038,3708,0,30,97,29,1.4,N,0.0,0.0
46.101,3615,0,28,97,27,1.4,N,0.0,0.0
46.169,3517,0,26,97,26,1.4,N,0.0,0.0
46.221,3414,0,24,97,24,1.4,N,0.0,0.0
46.287,3307,0,22,97,22,1.4,N,0.0,0.0
46.349,3197,0,20,97,20,1.4,N,0.0,0.0
46.421,3090,0,19,97,20,1.4,N,0.0,0.0
46.477,2986,0,18,97,19,1.4,N,0.0,0.0
46.541,2886,0,17,97,18,1.3,N,0.0,0.0
46.604,2788,0,16,97,17,1.3,N,0.0,0.0
46.668,2693,0,15,97,16,1.3,N,0.0,0.0
46.720,2600,0,14,97,15,1.3,N,0.0,0.0
46.783,2509,0,13,97,14,1.3,N,0.0,0.0
46.854,2420,0,12,97,13,1.3,N,0.0,0.0
46.929,2333,0,11,97,12,1.3,N,0.0,0.0
46.988,2247,0,10,97,11,1.3,N,0.0,0.0
47.055,2163,0,9,97,11,1.3,N,0.0,0.0
47.120,2079,0,8,97,10,1.3,N,0.0,0.0
47.178,1997,0,7,97,9,1.3,N,0.0,0.0
47.238,1916,0,6,97,8,1.3,N,0.0,0.0
47.315,1835,0,5,97,7,1.3,N,0.0,0.0
47.386,1756,0,4,97,6,1.2,N,0.0,0.0
47.453,1677,0,3,97,5,1.2,N,0.0,0.0
47.521,1599,0,2,97,4,1.2,N,0.0,0.0
47.587,1521,0,1,97,3,1.2,N,0.0,0.0
47.652,1444,0,0,97,2,1.2,N,0.0,0.0
47.703,1374,0,0,97,2,1.2,N,0.0,0.0
47.767,1312,0,0,97,2,1.2,N,0.0,0.0
47.833,1256,0,0,97,2,1.2,N,0.0,0.0
47.897,1205,0,0,97,2,1.2,N,0.0,0.0
47.955,1160,0,0,96,2,1.2,N,0.0,0.0
48.015,1119,0,0,96,2,1.2,N,0.0,0.0
48.078,1082,0,0,96,2,1.2,N,0.0,0.0
48.143,1048,0,0,96,2,1.2,N,0.0,0.0
48.210,1019,0,0,96,2,1.2,N,0.0,0.0
48.272,992,0,0,96,2,1.2,N,0.0,0.0
48.335,967,0,0,96,2,1.2,N,0.0,0.0
48.399,946,0,0,96,2,1.2,N,0.0,0.0
48.466,926,0,0,96,1,1.1,N,0.0,0.0
48.517,908,0,0,96,1,1.1,N,0.0,0.0
48.584,892,0,0,96,1,1.1,N,0.0,0.0
48.651,878,0,0,96,1,1.1,N,0.0,0.0
48.703,865,0,0,96,1,1.1,N,0.0,0.0
48.766,854,0,0,96,1,1.1,N,0.0,0.0
48.833,843,0,0,96,1,1.1,N,0.0,0.0
48.897,834,0,0,96,1,1.1,N,0.0,0.0
48.966,825,0,0,96,1,1.1,N,0.0,0.0
49.016,818,0,0,96,1,1.1,N,0.0,0.0
49.078,811,0,0,96,1,1.1,N,0.0,0.0
49.141,805,0,0,96,1,1.1,N,0.0,0.0
49.219,799,0,0,96,1,1.1,N,0.0,0.0
49.284,794,0,0,96,1,1.1,N,0.0,0.0
49.349,790,0,0,96,1,1.1,N,0.0,0.0
49.418,786,0,0,96,1,1.1,N,0.0,0.0
49.475,782,0,0,95,1,1.1,N,0.0,0.0
49.533,779,0,0,95,1,1.1,N,0.0,0.0
49.597,776,0,0,95,1,1.1,N,0.0,0.0
49.664,773,0,0,95,1,1.1,N,0.0,0.0
49.730,771,0,0,95,1,1.1,N,0.0,0.0
49.782,769,0,0,95,1,1.1,N,0.0,0.0
49.851,767,0,0,95,1,1.1,N,0.0,0.0
49.915,765,0,0,95,0,1.1,N,0.0,0.0
49.983,764,0,0,95,0,1.1,N,0.0,0.0
50.047,762,0,0,95,0,1.1,N,0.0,0.0
50.115,761,0,0,95,0,1.1,N,0.0,0.0
50.182,760,0,0,95,0,1.1,N,0.0,0.0
50.246,759,0,0,95,0,1.1,N,0.0,0.0
50.308,758,0,0,95,0,1.1,N,0.0,0.0
50.363,757,0,0,95,0,1.1,N,0.0,0.0
50.430,756,0,0,95,0,1.1,N,0.0,0.0
50.490,756,0,0,95,0,1.1,N,0.0,0.0
50.553,755,0,0,95,0,1.1,N,0.0,0.0
50.616,754,0,0,95,0,1.1,N,0.0,0.0
50.680,754,0,0,95,0,1.1,N,0.0,0.0
50.743,753,0,0,95,0,1.0,N,0.0,0.0
50.805,753,0,0,95,0,1.0,N,0.0,0.0
50.869,753,0,0,95,0,1.0,N,0.0,0.0
50.932,752,0,0,95,0,1.0,N,0.0,0.0
50.997,752,0,0,95,0,1.0,N,0.0,0.0
51.046,752,0,0,95,0,1.0,N,0.0,0.0
51.111,752,0,0,95,0,1.0,N,0.0,0.0
51.176,751,0,0,94,0,1.0,N,0.0,0.0
51.237,751,0,0,94,0,1.0,N,0.0,0.0
51.307,751,0,0,94,0,1.0,N,0.0,0.0
51.369,751,0,0,94,0,1.0,N,0.0,0.0
51.436,751,0,0,94,0,1.0,N,0.0,0.0
51.500,751,0,0,94,0,1.0,N,0.0,0.0
51.563,751,0,0,94,0,1.0,N,0.0,0.0
51.625,750,0,0,94,0,1.0,N,0.0,0.0
51.689,750,0,0,94,0,1.0,N,0.0,0.0
51.753,750,0,0,94,0,1.0,N,0.0,0.0
51.817,750,0,0,94,0,1.0,N,0.0,0.0
51.880,750,0,0,94,0,1.0,N,0.0,0.0
51.943,750,0,0,94,0,1.0,N,0.0,0.0
52.009,750,0,0,94,0,1.0,N,0.0,0.0
52.072,750,0,0,94,0,1.0,N,0.0,0.0
52.134,750,0,0,94,0,1.0,N,0.0,0.0
52.197,750,0,0,94,0,1.0,N,0.0,0.0
52.261,750,0,0,94,0,1.0,N,0.0,0.0
52.326,750,0,0,94,0,1.0,N,0.0,0.0
52.389,750,0,0,94,0,1.0,N,0.0,0.0
52.437,750,0,0,94,0,1.0,N,0.0,0.0
52.500,750,0,0,94,0,1.0,N,0.0,0.0
52.562,750,0,0,94,0,1.0,N,0.0,0.0
52.627,750,0,0,94,0,1.0,N,0.0,0.0
52.702,750,0,0,94,0,1.0,N,0.0,0.0
52.775,750,0,0,94,0,1.0,N,0.0,0.0
52.838,750,0,0,94,0,1.0,N,0.0,0.0
52.901,750,0,0,94,0,1.0,N,0.0,0.0
